Date,Visitor/Neutral,Home/Neutral
Tue Oct 25 2016,New York Knicks,Cleveland Cavaliers
Tue Oct 25 2016,San Antonio Spurs,Golden State Warriors
Tue Oct 25 2016,Utah Jazz,Portland Trail Blazers
Wed Oct 26 2016,Brooklyn Nets,Boston Celtics
Wed Oct 26 2016,Dallas Mavericks,Indiana Pacers
Wed Oct 26 2016,Houston Rockets,Los Angeles Lakers
Wed Oct 26 2016,Minnesota Timberwolves,Memphis Grizzlies
Wed Oct 26 2016,Charlotte Hornets,Milwaukee Bucks
Wed Oct 26 2016,Denver Nuggets,New Orleans Pelicans
Wed Oct 26 2016,Miami Heat,Orlando Magic
Wed Oct 26 2016,Oklahoma City Thunder,Philadelphia 76ers
Wed Oct 26 2016,Sacramento Kings,Phoenix Suns
Wed Oct 26 2016,Detroit Pistons,Toronto Raptors
Thu Oct 27 2016,Washington Wizards,Atlanta Hawks
Thu Oct 27 2016,Boston Celtics,Chicago Bulls
Thu Oct 27 2016,Los Angeles Clippers,Portland Trail Blazers
Thu Oct 27 2016,San Antonio Spurs,Sacramento Kings
Fri Oct 28 2016,Indiana Pacers,Brooklyn Nets
Fri Oct 28 2016,Houston Rockets,Dallas Mavericks
Fri Oct 28 2016,Orlando Magic,Detroit Pistons
Fri Oct 28 2016,Charlotte Hornets,Miami Heat
Fri Oct 28 2016,Golden State Warriors,New Orleans Pelicans
Fri Oct 28 2016,Phoenix Suns,Oklahoma City Thunder
Fri Oct 28 2016,Cleveland Cavaliers,Toronto Raptors
Fri Oct 28 2016,Los Angeles Lakers,Utah Jazz
Sat Oct 29 2016,Indiana Pacers,Chicago Bulls
Sat Oct 29 2016,Boston Celtics,Charlotte Hornets
Sat Oct 29 2016,Orlando Magic,Cleveland Cavaliers
Sat Oct 29 2016,Portland Trail Blazers,Denver Nuggets
Sat Oct 29 2016,Brooklyn Nets,Milwaukee Bucks
Sat Oct 29 2016,Memphis Grizzlies,New York Knicks
Sat Oct 29 2016,Atlanta Hawks,Philadelphia 76ers
Sat Oct 29 2016,Minnesota Timberwolves,Sacramento Kings
Sat Oct 29 2016,New Orleans Pelicans,San Antonio Spurs
Sun Oct 30 2016,Milwaukee Bucks,Detroit Pistons
Sun Oct 30 2016,Dallas Mavericks,Houston Rockets
Sun Oct 30 2016,Utah Jazz,Los Angeles Clippers
Sun Oct 30 2016,Washington Wizards,Memphis Grizzlies
Sun Oct 30 2016,San Antonio Spurs,Miami Heat
Sun Oct 30 2016,Los Angeles Lakers,Oklahoma City Thunder
Sun Oct 30 2016,Golden State Warriors,Phoenix Suns
Mon Oct 31 2016,Sacramento Kings,Atlanta Hawks
Mon Oct 31 2016,Chicago Bulls,Brooklyn Nets
Mon Oct 31 2016,Phoenix Suns,Los Angeles Clippers
Mon Oct 31 2016,Denver Nuggets,Toronto Raptors